observation_date,IRLTLT01FRM156N
1997-07-01,5.44
1997-08-01,5.59
1997-09-01,5.53
1997-10-01,5.60
1997-11-01,5.57
1997-12-01,5.32
1998-01-01,5.12
1998-02-01,5.04
1998-03-01,4.96
1998-04-01,4.97
1998-05-01,5.01
1998-06-01,4.86
1998-07-01,4.78
1998-08-01,4.53
1998-09-01,4.20
1998-10-01,4.19
1998-11-01,4.20
1998-12-01,3.91
1999-01-01,3.78
1999-02-01,3.94
1999-03-01,4.14
1999-04-01,3.99
1999-05-01,4.17
1999-06-01,4.49
1999-07-01,4.82
1999-08-01,5.02
1999-09-01,5.20
1999-10-01,5.44
1999-11-01,5.15
1999-12-01,5.29
2000-01-01,5.66
2000-02-01,5.62
2000-03-01,5.43
2000-04-01,5.33
2000-05-01,5.50
2000-06-01,5.32
2000-07-01,5.40
2000-08-01,5.36
2000-09-01,5.42
2000-10-01,5.36
2000-11-01,5.29
2000-12-01,5.04
2001-01-01,4.94
2001-02-01,4.93
2001-03-01,4.84
2001-04-01,5.00
2001-05-01,5.21
2001-06-01,5.15
2001-07-01,5.15
2001-08-01,4.95
2001-09-01,4.94
2001-10-01,4.72
2001-11-01,4.57
2001-12-01,4.87
2002-01-01,4.93
2002-02-01,4.99
2002-03-01,5.24
2002-04-01,5.24
2002-05-01,5.26
2002-06-01,5.11
2002-07-01,4.96
2002-08-01,4.67
2002-09-01,4.46
2002-10-01,4.55
2002-11-01,4.53
2002-12-01,4.38
2003-01-01,4.22
2003-02-01,4.01
2003-03-01,4.10
2003-04-01,4.22
2003-05-01,3.89
2003-06-01,3.69
2003-07-01,4.01
2003-08-01,4.16
2003-09-01,4.23
2003-10-01,4.28
2003-11-01,4.41
2003-12-01,4.34
2004-01-01,4.20
2004-02-01,4.14
2004-03-01,3.98
2004-04-01,4.18
2004-05-01,4.34
2004-06-01,4.39
2004-07-01,4.27
2004-08-01,4.11
2004-09-01,4.09
2004-10-01,3.98
2004-11-01,3.86
2004-12-01,3.64
2005-01-01,3.58
2005-02-01,3.60
2005-03-01,3.75
2005-04-01,3.54
2005-05-01,3.38
2005-06-01,3.20
2005-07-01,3.27
2005-08-01,3.30
2005-09-01,3.13
2005-10-01,3.29
2005-11-01,3.50
2005-12-01,3.38
2006-01-01,3.34
2006-02-01,3.51
2006-03-01,3.69
2006-04-01,3.95
2006-05-01,4.00
2006-06-01,4.01
2006-07-01,4.03
2006-08-01,3.90
2006-09-01,3.77
2006-10-01,3.81
2006-11-01,3.74
2006-12-01,3.81
2007-01-01,4.07
2007-02-01,4.10
2007-03-01,4.00
2007-04-01,4.21
2007-05-01,4.34
2007-06-01,4.62
2007-07-01,4.58
2007-08-01,4.39
2007-09-01,4.36
2007-10-01,4.40
2007-11-01,4.23
2007-12-01,4.35
2008-01-01,4.15
2008-02-01,4.08
2008-03-01,4.02
2008-04-01,4.27
2008-05-01,4.41
2008-06-01,4.73
2008-07-01,4.69
2008-08-01,4.40
2008-09-01,4.36
2008-10-01,4.18
2008-11-01,3.98
2008-12-01,3.54
2009-01-01,3.60
2009-02-01,3.68
2009-03-01,3.65
2009-04-01,3.66
2009-05-01,3.80
2009-06-01,3.90
2009-07-01,3.73
2009-08-01,3.59
2009-09-01,3.59
2009-10-01,3.56
2009-11-01,3.56
2009-12-01,3.48
2010-01-01,3.52
2010-02-01,3.50
2010-03-01,3.44
2010-04-01,3.40
2010-05-01,3.08
2010-06-01,3.07
2010-07-01,2.99
2010-08-01,2.68
2010-09-01,2.68
2010-10-01,2.72
2010-11-01,3.00
2010-12-01,3.34
2011-01-01,3.44
2011-02-01,3.60
2011-03-01,3.61
2011-04-01,3.69
2011-05-01,3.49
2011-06-01,3.43
2011-07-01,3.40
2011-08-01,2.98
2011-09-01,2.64
2011-10-01,2.99
2011-11-01,3.41
2011-12-01,3.16
2012-01-01,3.18
2012-02-01,3.02
2012-03-01,2.95
2012-04-01,2.99
2012-05-01,2.75
2012-06-01,2.57
2012-07-01,2.28
2012-08-01,2.12
2012-09-01,2.24
2012-10-01,2.19
2012-11-01,2.14
2012-12-01,2.01
2013-01-01,2.17
2013-02-01,2.24
2013-03-01,2.07
2013-04-01,1.80
2013-05-01,1.87
2013-06-01,2.21
2013-07-01,2.25
2013-08-01,2.36
2013-09-01,2.49
2013-10-01,2.39
2013-11-01,2.27
2013-12-01,2.33
2014-01-01,2.38
2014-02-01,2.25
2014-03-01,2.15
2014-04-01,2.03
2014-05-01,1.84
2014-06-01,1.71
2014-07-01,1.56
2014-08-01,1.41
2014-09-01,1.35
2014-10-01,1.26
2014-11-01,1.14
2014-12-01,0.92
2015-01-01,0.67
2015-02-01,0.60
2015-03-01,0.51
2015-04-01,0.44
2015-05-01,0.89
2015-06-01,1.20
2015-07-01,1.11
2015-08-01,1.01
2015-09-01,1.00
2015-10-01,0.87
2015-11-01,0.88
2015-12-01,0.93
2016-01-01,0.84
2016-02-01,0.59
2016-03-01,0.51
2016-04-01,0.51
2016-05-01,0.51
2016-06-01,0.39
2016-07-01,0.17
2016-08-01,0.15
2016-09-01,0.18
2016-10-01,0.33
2016-11-01,0.67
2016-12-01,0.75
2017-01-01,0.86
2017-02-01,1.03
2017-03-01,1.02
2017-04-01,0.88
2017-05-01,0.81
2017-06-01,0.66
2017-07-01,0.84
2017-08-01,0.71
2017-09-01,0.70
2017-10-01,0.81
2017-11-01,0.72
2017-12-01,0.67
2018-01-01,0.85
2018-02-01,0.98
2018-03-01,0.83
2018-04-01,0.78
2018-05-01,0.79
2018-06-01,0.75
2018-07-01,0.67
2018-08-01,0.70
2018-09-01,0.77
2018-10-01,0.82
2018-11-01,0.76
2018-12-01,0.70
2019-01-01,0.65
2019-02-01,0.55
2019-03-01,0.44
2019-04-01,0.37
2019-05-01,0.30
2019-06-01,0.08
2019-07-01,-0.07
2019-08-01,-0.34
2019-09-01,-0.27
2019-10-01,-0.16
2019-11-01,-0.02
2019-12-01,0.04
2020-01-01,-0.01
2020-02-01,-0.18
2020-03-01,-0.05
2020-04-01,0.06
2020-05-01,-0.03
2020-06-01,-0.04
2020-07-01,-0.15
2020-08-01,-0.17
2020-09-01,-0.21
2020-10-01,-0.30
2020-11-01,-0.32
2020-12-01,-0.34
2021-01-01,-0.31
2021-02-01,-0.15
2021-03-01,-0.07
2021-04-01,-0.01
2021-05-01,0.21
2021-06-01,0.15
2021-07-01,-0.01
2021-08-01,-0.12
2021-09-01,0.04
2021-10-01,0.20
2021-11-01,0.10
2021-12-01,0.05
2022-01-01,0.31
2022-02-01,0.68
2022-03-01,0.78
2022-04-01,1.28
2022-05-01,1.52
2022-06-01,2.06
2022-07-01,1.71
2022-08-01,1.69
2022-09-01,2.41
2022-10-01,2.77
2022-11-01,2.58
2022-12-01,2.62
2023-01-01,2.69
2023-02-01,2.87
2023-03-01,2.92
2023-04-01,2.90
2023-05-01,2.94
2023-06-01,2.93
2023-07-01,3.04
2023-08-01,3.11
2023-09-01,3.24
2023-10-01,3.45
2023-11-01,3.19
2023-12-01,2.65
2024-01-01,2.74
2024-02-01,2.85
2024-03-01,2.82
2024-04-01,2.97
2024-05-01,3.03
2024-06-01,3.15
2024-07-01,3.14
2024-08-01,2.94
2024-09-01,2.90
2024-10-01,2.99
2024-11-01,3.09
2024-12-01,3.01
2025-01-01,3.32
2025-02-01,3.15
2025-03-01,3.43
2025-04-01,3.26
2025-05-01,3.26
2025-06-01,3.24
2025-07-01,3.36
2025-08-01,3.42
2025-09-01,3.51
